filed_id:ID,name,description ,class,rfc,:LABEL
1000000,NAME_TRN_ID,NAME_TRN_ID Transaction ID for Name Service Transaction . Requestor places a unique value for each active transaction . Responder puts NAME_TRN_ID value from request packet in response packet . ,230,1002,field
1000001,OPCODE,OPCODE Packet type code   see table below . ,231,1002,field
1000002,NM_FLAGS,NM_FLAGS Flags for operation   see table below . ,231,1002,field
1000003,RCODE,RCODE Result codes of request . Table of RCODE values for each response packet below . ,231,1002,field
1000004,QDCOUNT,QDCOUNT Unsigned 16 bit integer specifying the number of entries in the question section of a Name ,231,1002,field
1000005,ANCOUNT,ANCOUNT Unsigned 16 bit integer specifying the number of resource records in the answer section of a Name Service packet . ,231,1002,field
1000006,NSCOUNT,NSCOUNT Unsigned 16 bit integer specifying the number of resource records in the authority section of a Name Service packet . ,231,1002,field
1000007,ARCOUNT,ARCOUNT Unsigned 16 bit integer specifying the number of resource records in the additional records section of a Name Service packet . ,231,1002,field
1000008,OPCODE,OPCODE 1-4 Operation specifier : 0 = query 5 = registration 6 = release 7 = WACK 8 = refresh ,240,1002,field
1000009,QUESTION_NAME,QUESTION_NAME The compressed name representation of the NetBIOS name for the request . ,230,1002,field
1000010,QUESTION_TYPE,QUESTION_TYPE The type of request . The values for this field are specified for each request . ,231,1002,field
1000011,QUESTION_CLASS,QUESTION_CLASS The class of the request . The values for this field are specified for each request . ,231,1002,field
1000012,RR_NAME,RR_NAME The compressed name representation of the NetBIOS name corresponding to this resource record . ,230,1002,field
1000013,RR_TYPE,RR_TYPE Resource record type code ,231,1002,field
1000014,RR_CLASS,RR_CLASS Resource record class code ,231,1002,field
1000015,TTL,TTL The Time To Live of a the resource record's name . ,120,1002,field
1000016,RDLENGTH,RDLENGTH Unsigned 16 bit integer that specifies the number of bytes in the RDATA field . ,100,1002,field
1000017,RDATA,RDATA RR_CLASS and RR_TYPE dependent field . Contains the resource information for the NetBIOS name . ,231,1002,field
1000018,FLAGS,The TYPE   FLAGS   and LENGTH fields are present in every session packet . ,231,1002,field
1000019,TTL,adjust refresh timeout value   TTL   for this name; return success; /* name can be added */ ,301,1002,field
1000020,vrsn,vrsn 8 bits ,302,1006,field
1000021,packet length,packet length 16 bits ( min=7   max=65535 ) ,100,1006,field
1000022,B,IEEE 802 networks may be used as IP networks of any class ( A   B   or C ). These systems use two Link Service Access Point ( LSAP ) fields of the LLC header in much the same way the ARPANET uses the " link " field . Further   there is an extension of the LLC header called the Sub-Network Access Protocol ( SNAP ). ,231,1042,field
