:START_ID,:END_ID,:TYPE
100000,1,author
100001,2,author
100002,3,author
100003,4,author
100004,4,author
100005,5,author
100006,5,author
100007,5,author
100005,6,author
100006,6,author
100007,6,author
100008,7,author
100009,8,author
100010,9,author
100011,9,author
100012,10,author
100013,10,author
100014,11,author
100014,12,author
100015,13,author
100004,13,author
100016,14,author
100003,15,author
100004,15,author
100003,16,author
100004,16,author
100003,17,author
100004,17,author
100017,18,author
100018,19,author
100019,20,author
100020,21,author
100004,21,author
100019,22,author
100021,23,author
100022,24,author
100001,25,author
100023,26,author
100024,26,author
100025,27,author
100026,27,author
100025,28,author
100026,28,author
100026,29,author
100025,29,author
100025,30,author
100026,30,author
100004,31,author
100027,32,author
100028,33,author
100029,33,author
100030,34,author
100031,34,author
100032,34,author
100033,34,author
100034,35,author
100035,36,author
100036,38,author
100037,39,author
100024,40,author
100038,41,author
100039,42,author
100039,43,author
100040,44,author
100041,44,author
100042,45,author
100043,45,author
100044,46,author
100045,47,author
100046,48,author
100001,48,author
100047,49,author
100048,50,author
100004,51,author
100003,51,author
100049,52,author
100050,52,author
100051,53,author
100052,53,author
100053,54,author
100020,55,author
100004,55,author
100025,56,author
100054,57,author
100055,58,author
100056,59,author
100018,60,author
100054,61,author
100057,62,author
100058,63,author
100059,63,author
100060,64,author
100061,65,author
100036,66,author
100018,67,author
100062,68,author
100009,69,author
100063,70,author
100003,71,author
100004,71,author
100023,73,author
100024,73,author
100064,73,author
100065,74,author
100066,74,author
100025,74,author
100067,74,author
100068,75,author
100067,76,author
100012,76,author
100067,77,author
100012,77,author
100031,78,author
100032,78,author
100033,78,author
100030,78,author
100069,79,author
100015,79,author
100070,80,author
100071,80,author
100072,81,author
100001,81,author
100073,81,author
100074,81,author
100075,81,author
100056,81,author
100076,82,author
100077,82,author
100012,82,author
100015,83,author
100078,83,author
100025,83,author
100079,84,author
100015,84,author
100080,85,author
100081,86,author
100080,87,author
100025,87,author
100060,87,author
100026,88,author
100025,88,author
100019,89,author
100038,90,author
100062,91,author
100016,92,author
100062,93,author
100012,94,author
100012,95,author
100082,96,author
100006,96,author
100003,97,author
100012,98,author
100083,99,author
100012,99,author
100082,100,author
100006,100,author
100084,101,author
100085,102,author
100086,102,author
100032,102,author
