:START_ID,:END_ID,:TYPE
1000000,1000001,next
1000001,1000002,next
1000002,1000003,next
1000003,1000004,next
1000004,1000005,next
1000005,1000006,next
1000006,1000007,next
1000007,1000008,next
1000008,1000009,next
1000009,1000010,next
1000010,1000011,next
1000011,1000012,next
1000012,1000013,next
1000013,1000014,next
1000014,1000015,next
1000015,1000016,next
1000016,1000017,next
1000017,1000018,next
1000018,1000019,next
1000020,1000021,next
1000022,1000023,next
1000023,1000024,next
1000024,1000025,next
1000025,1000026,next
1000026,1000027,next
1000027,1000028,next
1000029,1000030,next
1000030,1000031,next
1000031,1000032,next
1000032,1000033,next
1000033,1000034,next
1000034,1000035,next
1000035,1000036,next
1000036,1000037,next
1000037,1000038,next
1000038,1000039,next
1000039,1000040,next
1000040,1000041,next
1000041,1000042,next
1000042,1000043,next
1000043,1000044,next
1000044,1000045,next
1000045,1000046,next
1000046,1000047,next
1000047,1000048,next
1000049,1000050,next
1000050,1000051,next
1000051,1000052,next
1000052,1000053,next
1000054,1000055,next
1000055,1000056,next
1000056,1000057,next
1000057,1000058,next
1000058,1000059,next
1000059,1000060,next
1000060,1000061,next
1000061,1000062,next
1000062,1000063,next
1000063,1000064,next
1000064,1000065,next
1000065,1000066,next
1000066,1000067,next
1000067,1000068,next
1000068,1000069,next
1000069,1000070,next
1000071,1000072,next
1000072,1000073,next
1000073,1000074,next
1000075,1000076,next
1000076,1000077,next
1000077,1000078,next
1000078,1000079,next
1000079,1000080,next
1000080,1000081,next
1000081,1000082,next
1000082,1000083,next
1000083,1000084,next
1000084,1000085,next
1000085,1000086,next
1000086,1000087,next
1000087,1000088,next
1000088,1000089,next
1000089,1000090,next
1000091,1000092,next
1000092,1000093,next
1000093,1000094,next
1000094,1000095,next
1000096,1000097,next
1000097,1000098,next
1000098,1000099,next
1000099,1000100,next
1000100,1000101,next
1000101,1000102,next
1000102,1000103,next
1000103,1000104,next
1000104,1000105,next
1000105,1000106,next
1000106,1000107,next
1000107,1000108,next
1000108,1000109,next
1000109,1000110,next
1000110,1000111,next
1000111,1000112,next
1000112,1000113,next
1000113,1000114,next
1000114,1000115,next
1000115,1000116,next
1000116,1000117,next
1000117,1000118,next
1000118,1000119,next
1000119,1000120,next
1000120,1000121,next
1000122,1000123,next
1000123,1000124,next
1000124,1000125,next
1000125,1000126,next
1000126,1000127,next
1000127,1000128,next
1000128,1000129,next
1000129,1000130,next
1000130,1000131,next
1000131,1000132,next
1000132,1000133,next
1000133,1000134,next
1000134,1000135,next
1000135,1000136,next
1000136,1000137,next
1000137,1000138,next
1000138,1000139,next
1000139,1000140,next
1000140,1000141,next
1000141,1000142,next
1000142,1000143,next
1000143,1000144,next
1000144,1000145,next
