:START_ID,:END_ID,:TYPE
2227,2,obsolete
1,3,reference
2,3,reference
14,3,reference
25,3,reference
114,3,reference
225,3,reference
336,3,reference
558,3,reference
669,3,reference
780,3,reference
891,3,reference
1002,3,reference
1113,3,reference
1114,3,reference
1225,3,reference
1336,3,reference
1447,3,reference
1559,3,reference
1670,3,reference
1892,3,reference
2003,3,reference
2115,3,reference
2227,3,reference
2228,3,reference
2339,3,reference
2450,3,reference
2561,3,reference
2672,3,reference
2783,3,reference
2894,3,reference
3005,3,reference
3116,3,reference
3227,3,reference
3339,3,reference
3340,3,reference
3451,3,reference
3562,3,reference
3673,3,reference
3784,3,reference
3895,3,reference
4006,3,reference
4117,3,reference
4229,3,reference
4340,3,reference
4451,3,reference
4452,3,reference
4563,3,reference
4674,3,reference
4785,3,reference
4896,3,reference
5008,3,reference
5119,3,reference
5230,3,reference
5341,3,reference
5452,3,reference
5563,3,reference
5564,3,reference
5675,3,reference
5786,3,reference
5897,3,reference
6008,3,reference
6119,3,reference
6237,3,reference
6348,3,reference
6460,3,reference
6571,3,reference
6682,3,reference
6683,3,reference
6794,3,reference
6905,3,reference
7016,3,reference
7127,3,reference
7238,3,reference
7350,3,reference
7461,3,reference
7572,3,reference
7683,3,reference
7794,3,reference
7795,3,reference
7906,3,reference
8017,3,reference
8128,3,reference
8239,3,reference
8349,3,reference
8456,3,reference
8521,3,reference
8532,3,reference
8543,3,reference
8554,3,reference
8555,3,reference
8566,3,reference
8588,3,reference
8599,3,reference
8610,3,reference
8621,3,reference
8632,3,reference
8643,3,reference
8655,3,reference
2,4,reference
81,4,reference
114,4,reference
115,4,reference
126,4,reference
159,4,reference
181,4,reference
259,4,reference
414,4,reference
448,4,reference
481,4,reference
647,4,reference
747,4,reference
780,4,reference
792,4,reference
803,4,reference
858,4,reference
1069,4,reference
1148,4,reference
1237,4,reference
1292,4,reference
1348,4,reference
1403,4,reference
1436,4,reference
1504,4,reference
1560,4,reference
1593,4,reference
1693,4,reference
1837,4,reference
2003,4,reference
2026,4,reference
2081,4,reference
2092,4,reference
2103,4,reference
2116,4,reference
2149,4,reference
2205,4,reference
2227,4,reference
2229,4,reference
2295,4,reference
2373,4,reference
2395,4,reference
2439,4,reference
2484,4,reference
2517,4,reference
2539,4,reference
2550,4,reference
2561,4,reference
2562,4,reference
2573,4,reference
2584,4,reference
2695,4,reference
2706,4,reference
2717,4,reference
2739,4,reference
2817,4,reference
2828,4,reference
2894,4,reference
2895,4,reference
2917,4,reference
2928,4,reference
2950,4,reference
2961,4,reference
2972,4,reference
2994,4,reference
3006,4,reference
3094,4,reference
3128,4,reference
3216,4,reference
3227,4,reference
3239,4,reference
3250,4,reference
3328,4,reference
3341,4,reference
3385,4,reference
3485,4,reference
3563,4,reference
3585,4,reference
3674,4,reference
3718,4,reference
3740,4,reference
3807,4,reference
3818,4,reference
3929,4,reference
3951,4,reference
3995,4,reference
4006,4,reference
4084,4,reference
4106,4,reference
4117,4,reference
4151,4,reference
4252,4,reference
4307,4,reference
4374,4,reference
4396,4,reference
4418,4,reference
4552,4,reference
4597,4,reference
4697,4,reference
4719,4,reference
4797,4,reference
4830,4,reference
4874,4,reference
4896,4,reference
4919,4,reference
4996,4,reference
5064,4,reference
5075,4,reference
5120,4,reference
5131,4,reference
5186,4,reference
5197,4,reference
5330,4,reference
5342,4,reference
5408,4,reference
5519,4,reference
5530,4,reference
5565,4,reference
5576,4,reference
5598,4,reference
5631,4,reference
5642,4,reference
5653,4,reference
5675,4,reference
5731,4,reference
5831,4,reference
5931,4,reference
5986,4,reference
6131,4,reference
6237,4,reference
6348,4,reference
6393,4,reference
6505,4,reference
6527,4,reference
6538,4,reference
6683,4,reference
6684,4,reference
6706,4,reference
6717,4,reference
6761,4,reference
6772,4,reference
7005,4,reference
7028,4,reference
7039,4,reference
7050,4,reference
7061,4,reference
7072,4,reference
7083,4,reference
7272,4,reference
7339,4,reference
7351,4,reference
7661,4,reference
7695,4,reference
7706,4,reference
7717,4,reference
7772,4,reference
7783,4,reference
7796,4,reference
7807,4,reference
7818,4,reference
7862,4,reference
7907,4,reference
7918,4,reference
7929,4,reference
8006,4,reference
8029,4,reference
8040,4,reference
8151,4,reference
8251,4,reference
8273,4,reference
8456,4,reference
8479,4,reference
8489,4,reference
8534,4,reference
8535,4,reference
8537,4,reference
8541,4,reference
8556,4,reference
8569,4,reference
8574,4,reference
8575,4,reference
8586,4,reference
8587,4,reference
8596,4,reference
8600,4,reference
8602,4,reference
8616,4,reference
8628,4,reference
8631,4,reference
8648,4,reference
8657,4,reference
8663,4,reference
8664,4,reference
8665,4,obsolete
6,5,reference
7439,5,reference
7695,5,reference
7717,5,reference
8535,5,reference
8536,5,reference
8576,5,reference
8580,5,reference
8611,5,reference
8628,5,reference
8636,5,reference
8637,5,reference
8653,5,reference
