id:ID,no,name,protocol_layer,protocol_suite,abbreviation,character,work_group,:LABEL,
1,1,Host Software ,,,,company,Network Working Group,RFC,
2,10, Documentation conventions ,,,,company,Network Working Group,RFC,
3,100, Categorization and guide to NWG/RFCs ,,,,company,Network Working Group,RFC,
4,1000, Request For Comments reference guide ,,,,company,Network Working Group,RFC,
5,1001, Protocol standard for a NetBIOS service on a TCP/UDP transport: Concepts and methods ,Presentation Layer,TCP/IP,,military,,RFC,
6,1002, Protocol standard for a NetBIOS service on a TCP/UDP transport: Detailed specifications ,,TCP/IP,,military,,RFC,
7,1003, Issues in defining an equations representation standard ,,,,company,Network Working Group,RFC,
8,1004, Distributed-protocol authentication scheme ,,,,company,Network Working Group,RFC,
9,1005, ARPANET AHIP-E Host Access Protocol (enhanced AHIP) ,,,enhanced AHIP,company,Network Working Group,RFC,
10,1006,ISO Transport Service on top of the TCP Version: 3,,,,military,,RFC,
11,1007, Military supplement to the ISO Transport Protocol ,,,,person,Network Working Group,RFC,
12,1008, Implementation guide for the ISO Transport Protocol ,,,,person,Network Working Group,RFC,
13,1009, Requirements for Internet gateways ,,TCP/IP,,company,Network Working Group,RFC,
14,101, Notes on the Network Working Group meeting  Urbana  Illinois  February 17  1971 ,,,,company,Network Working Group,RFC,
15,1010, Assigned numbers ,,,,company,Network Working Group,RFC,
16,1011, Official Internet protocols ,,,,company,Network Working Group,RFC,
17,1012, Bibliography of Request For Comments 1 through 999 ,,,,company,Network Working Group,RFC,
18,1013, X Window System Protocol  version 11: Alpha update April 1987 ,,,,person,Network Working Group,RFC,
19,1014, XDR: External Data Representation standard ,,,,person,Network Working Group,RFC,
20,1015, Implementation plan for interagency research Internet ,,,,company,Network Working Group,RFC,
21,1016,Something a Host Could Do with Source Quench: The Source Quench Introduced Delay (SQuID) ,,,SQuID,company,Network Working Group,RFC,
22,1017, Network requirements for scientific research: Internet task force on scientific computing ,,,,company,Network Working Group,RFC,
23,1018, Some comments on SQuID ,,,,company,Network Working Group,RFC,
24,1019, Report of the Workshop on Environments for Computational Mathematics ,,,,company,Network Working Group,RFC,
25,102, Output of the Host-Host Protocol glitch cleaning committee ,,,,company,Network Working Group,RFC,
26,1020, Internet numbers ,,,,company,Network Working Group,RFC,
27,1021, High-level Entity Management System (HEMS) ,,,HEMS,company,Network Working Group,RFC,
28,1022, High-level Entity Management Protocol (HEMP) ,,,HEMP,company,Network Working Group,RFC,
29,1023, HEMS monitoring and control language ,,,,company,Network Working Group,RFC,
30,1024, HEMS variable definitions ,,,,company,Network Working Group,RFC,
31,1025, TCP and IP bake off ,,,,company,Network Working Group,RFC,
